,id,PartType,CardText_CardPriority,CardText_Text,CardText_Color,Manufacturer,DispName,CostMod,RarityMod,Priority,TechMod,AttrMod_Damage_Scale,LinkedPrefix,AttrMod_Recoil_PreAdd,AttrMod_FireRate_PreAdd,AttrMod_ClipSize_Scale,CardMod_Damage,CardMod_Recoil,CardMod_FireRate,CardMod_ClipSize,AttrMod_WeaponLevel_PreAdd,AttrMod_AccRegen_Scale,AttrMod_AccMax_Scale,AttrMod_AccMin_Scale,AttrMod_Recoil_Scale,AttrMod_Spread_Scale,TitleText,AttrMod_ReloadSpeed_Scale,CardMod_Spread,AttrMod_FireRate_Scale,AttrMod_Knockback_Scale,AttrMod_ReloadSpeed_PreAdd,CardMod_ReloadSpeed,AttrMod_ProjectileCount_PreAdd,CardMod_ProjectileCount,AttrMod_CritBonus_Scale,CardMod_CritBonus,TitleAddend,AttrMod_ClipSize_PreAdd,AttrMod_MeleeDamage_Scale,LinkedTitle,Tech1_TechLevel,Tech1_LinkedPrefix,Tech1_TechType,Tech1_ProcChance,Tech1_TechCost,Tech1_Bullet,Tech2_TechLevel,Tech2_LinkedPrefix,Tech2_TechType,Tech2_ProcChance,Tech2_TechCost,Tech2_Bullet,Tech3_TechLevel,Tech3_LinkedPrefix,Tech3_TechType,Tech3_ProcChance,Tech3_TechCost,Tech3_Bullet,Tech4_TechLevel,Tech4_LinkedPrefix,Tech4_TechType,Tech4_ProcChance,Tech4_TechCost,Tech4_Bullet,AttrMod_BurstCount_PreAdd,AttrMod_ProjectileCount_Scale,CardMod_BurstCount,AttrMod_MeleeDamage_PreAdd,CardMod_MeleeDamage,AttrMod_ProjectileCount_PostAdd,AttrMod_CritBonus_PreAdd,AttrMod_AmmoRegen_PostAdd,CardMod_AmmoRegen,AttrMod_ZoomEndFOV_Scale,CardMod_ZoomEndFOV,AttrMod_AccMin_PreAdd,AttrMod_DamageNormalized_Scale,AttrMod_HealthRegen_PostAdd,AttrMod_ShotCost_PreAdd,AttrMod_HealthRegen_PreAdd,CardMod_HealthRegen,AttrMod_ProjectileSpeed_Scale,CardMod_ProjectileSpeed,HelpText,AttrMod_BurstCount_Scale,AttrMod_Spread_PreAdd,AttrMod_AccRegen_PreAdd,AttrMod_AccMax_PostAdd,AttrMod_Knockback_PreAdd,AttrMod_AmmoRegen_Scale,AttrMod_ShotCost_Scale,DamageType,AttrMod_Radius_PreAdd,Spawn,AttrMod_CoolRate_Scale,AttrMod_CoolDelay_Scale
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Maliwan_2,x018,Material,3.1,Higher Elemental Effect Chance,,Maliwan,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,4,0.05,p045,,,,,,,,1,,,,,-0.11, B,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Maliwan_3,x019,Material,3.1,Very High Elemental Effect Chance,,Maliwan,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,5,0.10,p046,,,,,,,,2,,,,,-0.25, C,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_SandS_1,x020,Material,,,,SandS Munitions,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,1,,p012,,,0.40,,,,3,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_SandS_2,x021,Material,,,,SandS Munitions,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,1,0.05,,,,0.42,,,,3,1,-1,-2,,,,.2,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_SandS_3,x022,Material,,,,SandS Munitions,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,2,0.10,,,,0.50,,,,3,2,,,,,,.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Tediore_1,x023,Material,,,,Tediore,,WeaponPartCost0_Cheap_TedioreBonus,WeaponPartRarity1_Common,,,-0.20,p013,,,,,,,,,,,,,0.35,,,,,,-0.70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Tediore_2,x024,Material,,,,Tediore,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,-0.10,,,,,,,,,1,,,,,0.25,-A,,,,,-0.85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Tediore_3,x025,Material,,,,Tediore,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,-0.05,,,,,,,,,2,,,,,0.15,-B,,,,,-1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Torgue_1,x026,Material,,,,Torgue,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,0.20,p014,0.54,,,3,,3,,,,,,,0.35,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Torgue_2,x027,Material,,,,Torgue,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,0.25,p047,0.54,,,3,,3,,1,,,,,0.35,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Torgue_3,x028,Material,,,,Torgue,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,0.30,p048,0.54,,,3,,3,,2,,,,,0.35,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Vladof_1,x029,Material,,,,Vladof,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,p015,,,,,,3,,,,,,,0.32,,,,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Vladof_2,x030,Material,,,,Vladof,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,0.05,,-0.20,,,,,3,,1,,,,,0.32,/V2,,,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_shared_materialparts.ManufacturerMaterials.Material_Vladof_3,x031,Material,,,,Vladof,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,0.10,,-0.40,,,3,,3,,2,,,,,0.32,/V3,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Prefix.Prefix_Acc1_Spiked,p049,Prefix,,,,,Spiked,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Prefix.Prefix_Acc2_Raging,p050,Prefix,,,,,Raging,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Prefix.Prefix_Acc4_Painful,p051,Prefix,,,,,Painful,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Prefix.Prefix_Quality1_Grievous,p052,Prefix,,,,,Grievous,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.1,1,0.06,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Prefix.Prefix_Quality2_Lethal,p053,Prefix,,,,,Lethal,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.3,1,0.09,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Prefix.Prefix_Quality3_Fatal,p054,Prefix,,,,,Fatal,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.6,1,0.12,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Prefix.Prefix_Reload1_Angry,p055,Prefix,,,,,Angry,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,2.5,1,,,,,,,,,,,,,,,,,-0.30,,-0.20,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Title.Title_Damage1_Brute,t001,Title,,,,,Brute,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2.2,,0.22,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Title.Title_HighSpread1_Sweeper,t002,Title,,,,,Sweeper,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Title.Title_Spread_Death,t003,Title,,,,,Death,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2.1,2,,,,,,,,,,,,,-0.25,,,,,,,,,,,,0.15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Title.TitleM_Hyperion1_Butcher,t004,Title,10,Ahhh... Fresh meat!,DC4646,,Butcher,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Title.TitleM_Maliwan1_Plague,t005,Title,10,Bring out your Dead,DC4646,,Crux,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Title.TitleM_SandS1_Crux,t006,Title,10,"Cross their heart, hope they die.",DC4646,,Crux,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Title.TitleM_Vladof1_Hammer,t007,Title,10,Drop the Hammer!,DC4646,,Hammer,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.mag.mag3,m001,Magazine,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.mag.mag3a,m002,Magazine,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.acc.acc1_Spiked,a001,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,p049,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.acc.acc2_Raging,a002,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,p050,,,,,,,,,,,,,,,-0.20,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.acc.acc3_Maliwan_Corrosive_Plague,a003,Accessory,,,,Maliwan,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,10,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t005,6,p023,Corrosive,50,10,y001,9,p024,Corrosive,10,10,y001,12,p025,Corrosive,10,10,y001,15,p026,Corrosive,15,20,y001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.acc.acc4_Painful,a004,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,0.13,p051,,,,,,,,,,,,,,,,,,0.23,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.acc.acc5_SandSCrux,a005,Accessory,,,,SandS Munitions,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,9,0.20,,,,,,,,,,,,-0.50,,-2.0,,-0.30,,,,,,,,,,,5,,t006,6,,Explosive,35,20,y004,9,,Explosive,10,18,y004,12,,Explosive,10,16,y004,15,,Explosive,20,12,y004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.acc.acc5_Vladof_Hammer,a006,Accessory,,,,Vladof,,WeaponPartCost6_Legendary,WeaponPartRarity2_Uncommon,,10,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,t007,6,p027,Explosive,25,20,y004,9,p028,Explosive,10,20,y004,12,p029,Explosive,10,20,y004,15,p030,Explosive,15,20,y004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_assault_shotgun.Barrel.barrel4_Hyperion_Butcher,b009,Barrel,,,,Hyperion,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,3,,,,,,,,,,,,,,,0.20,,,,-6.0,,,,,,,,,,,t004,,,,,,,,,,,,,,,,,,,,,,,,,5,-1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Prefix.Prefix_Acc1_Jagged,p056,Prefix,,,,,Jagged,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Prefix.Prefix_Acc2_Frenzied,p057,Prefix,,,,,Frenzied,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Prefix.Prefix_Damage1_Terrible,p058,Prefix,,,,,Terrible,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Prefix.Prefix_Firerate1_Riot,p059,Prefix,,,,,Riot,WeaponPartCost1_Common,WeaponPartRarity1_Common,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Prefix.Prefix_Grip2_Riot,p060,Prefix,,,,,Riot,WeaponPartCost1_Common,WeaponPartRarity1_Common,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Prefix.Prefix_Spread1_Hunters,p061,Prefix,,,,,Hunter's,WeaponPartCost2_Uncommon,WeaponPartRarity1_Common,2.6,,0.20,,,,,,,,,,,,-0.15,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Prefix.PrefixM_Torgue1_Friendly,p062,Prefix,,,,,Friendly,WeaponPartCost1_Common,WeaponPartRarity1_Common,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.Title__Shotgun,t008,Title,,,,,Shotgun,WeaponPartCost1_Common,WeaponPartRarity1_Common,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.Title_Barrel3_Carnage,t009,Title,,,,,Carnage,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.Title_HighSpread1_Scattergun,t010,Title,,,,,Scattergun,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.Title_HighSpread2_Matador,t011,Title,,,,,Matador,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.2,,,,,,,,,,,,,,,,,,,,-0.25,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.Title_Projectiles1_Shredder,t012,Title,,,,,Shredder,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,3.3,,,,,,,,,,,,,,,,0.15,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleM_Atlas1_Hydra,t013,Title,10,Five heads of Death,DC4646,,Hydra,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleM_Dahl1_Bulldog,t014,Title,10,One Bad Dog!,DC4646,,Bulldog,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleM_Jakobs1_Striker,t015,Title,10,Sniper Rifles are for Chumps.,DC4646,,Striker,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleM_Tediore1_Defender,t016,Title,10,I can do this all day...,DC4646,,Defender,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleM_Torgue1_Fire,t017,Title,10,Have a nice day!,DC4646,,Fire,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,p062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleU_BaronFlynt_BoomStick,t018,Title,5,Beyond Groovy,DC4646,,Boom Stick,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleU_Retail_Blister,t019,Title,5,It's a painful thing,DC4646,,The Blister,WeaponPartCost0_Cheap,WeaponPartRarity4_Rare,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleU_Sledge_SledgesShotgun,t020,Title,5,The Legend Lives,DC4646,,Sledge's Shotgun,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Title.TitleU_TKBaha_TKsWave,t021,Title,5,"Ride the Wave, Dude!",DC4646,,T.K's Wave,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc1_Jagged,a007,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,p056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc2_Frenzied,a008,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,p057,,,,,,,,,,,,,,,,,-0.40,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc3_Corrosive,a009,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,6,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,6,p023,Corrosive,25,20,y001,9,p024,Corrosive,10,20,y001,12,p025,Corrosive,10,20,y001,15,p026,Corrosive,15,20,y001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc3_Shock,a010,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,6,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,6,p035,Shock,25,20,y002,9,p036,Shock,10,20,y002,12,p037,Shock,10,20,y002,15,p038,Shock,15,20,y002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc4_Atlas_Hydra,a011,Accessory,,,,,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,,0.35,,,,,,,,,,,,-0.50,,-1.0,,,,,,,,3,,,,,,,t013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc4_Terrible,a012,Accessory,,,,,,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,,,0.13,p058,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc5_Explosive,a013,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,6,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,6,p027,Explosive,25,20,y004,9,p028,Explosive,10,20,y004,12,p029,Explosive,10,20,y004,15,p030,Explosive,15,20,y004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc5_Incendiary,a014,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,6,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,6,p031,Incendiary,25,20,y003,9,p032,Incendiary,10,20,y003,12,p033,Incendiary,10,20,y003,15,p034,Incendiary,15,20,y003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.acc5_Torgue_FriendlyFire,a015,Accessory,,,,Torgue,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,10,,p062,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,t017,6,,Incendiary,25,20,y003,9,,Incendiary,10,20,y003,12,,Incendiary,10,20,y003,15,,Incendiary,15,20,y003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.acc.accnone,a016,Accessory,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Barrel.barrel1,b001,Barrel,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Barrel.barrel2,b002,Barrel,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,0.15,,,,,,,,,,,-0.20,0.20,0.20,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
